Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
11-07-2025,EQ,1998,2004.8,1980.9,2006.2,1983,1983.7,1987.41,2027.1,1588.05,6258461,12438153798,125871,HDFC
10-07-2025,EQ,2016,2017,2000,2011.2,2002.8,2006.2,2008.54,2027.1,1588.05,8515155,17103052404,184619,HDFC
09-07-2025,EQ,2007,2013.8,1998.1,2001.4,2008.5,2011.2,2007.1,2027.1,1588.05,6930714,13910645549,151284,HDFC
08-07-2025,EQ,1977,2005,1977,1987.4,1999.4,2001.4,1992.88,2027.1,1588.05,7612158,15170095366,199823,HDFC
07-07-2025,EQ,1989,1998.4,1983.8,1989.3,1985.5,1987.4,1989.37,2027.1,1588.05,5674713,11289078543,163393,HDFC
04-07-2025,EQ,1987.1,2003.5,1980,1987.1,1992.7,1989.3,1987.51,2027.1,1588.05,3931972,7814832916,150676,HDFC
03-07-2025,EQ,1994.9,2008,1984.3,1986,1985.9,1987.1,1993.22,2027.1,1588.05,8430253,16803371806,182242,HDFC
02-07-2025,EQ,2019.9,2019.9,1977.9,2012.1,1985.5,1986,1990.25,2027.1,1588.05,9439125,18786219251,268429,HDFC
01-07-2025,EQ,2005,2016,2004,2001.5,2011.1,2012.1,2010.15,2027.1,1588.05,7194693,14462421819,169976,HDFC
30-06-2025,EQ,2011.5,2013.8,1995.5,2014.9,2000,2001.5,2001.16,2027.1,1588.05,6824510,13656939181,199780,HDFC
27-06-2025,EQ,2013,2019.8,1993.4,2021.8,2011.5,2014.9,2011.75,2027.1,1588.05,14106692,28379071386,226961,HDFC
26-06-2025,EQ,1981.4,2027.1,1980,1980.2,2017.7,2021.8,2011.21,2027.1,1588.05,25042415,50365656415,343662,HDFC
25-06-2025,EQ,1966,1982,1963.9,1960.9,1980,1980.2,1977.13,1996.3,1588.05,9202966,18195446516,206190,HDFC
24-06-2025,EQ,1965,1979,1955.6,1948.4,1963.7,1960.9,1964.12,1996.3,1588.05,11312661,22219442192,231814,HDFC
23-06-2025,EQ,1948.4,1957.9,1941.8,1964.7,1948.1,1948.4,1948.19,1996.3,1588.05,5869759,11435395881,176324,HDFC
20-06-2025,EQ,1931.6,1969.9,1931.6,1935.3,1963.1,1964.7,1960.39,1996.3,1588.05,16450204,32248839586,261970,HDFC
19-06-2025,EQ,1933.9,1946.8,1925.6,1933.9,1933.1,1935.3,1937.61,1996.3,1588.05,8438110,16349732659,202215,HDFC
18-06-2025,EQ,1917,1936.3,1917,1929.6,1932.5,1933.9,1928.12,1996.3,1588.05,9216908,17771302525,251910,HDFC
17-06-2025,EQ,1937,1941.6,1919.1,1935.4,1926,1929.6,1927.55,1996.3,1588.05,8489368,16363691277,219738,HDFC
16-06-2025,EQ,1924,1938.9,1920.1,1917.6,1936.9,1935.4,1933.31,1996.3,1588.05,8256873,15963122375,199177,HDFC
13-06-2025,EQ,1920,1933,1913,1943.4,1919.5,1917.6,1920.08,1996.3,1552.2,6058881,11633522705,187789,HDFC
12-06-2025,EQ,1950,1961,1935.3,1950.4,1940,1943.4,1945.18,1996.3,1552.2,8174565,15901014849,179174,HDFC
11-06-2025,EQ,1967.6,1967.6,1947,1965.3,1947.9,1950.4,1956.28,1996.3,1552.2,5548197,10853832767,181762,HDFC
10-06-2025,EQ,1982.8,1982.8,1961.1,1978.9,1962.8,1965.3,1967.94,1996.3,1552.2,7766563,15284154945,281306,HDFC
09-06-2025,EQ,1995,1995,1975.9,1978.7,1980.1,1978.9,1982.15,1996.3,1552.2,6601294,13084780210,203285,HDFC
06-06-2025,EQ,1944,1996.3,1942.7,1949.6,1978,1978.7,1976.03,1996.3,1454,15063504,29765991590,354572,HDFC
05-06-2025,EQ,1948,1958.9,1940.2,1941.2,1952,1949.6,1950.15,1978.9,1454,11127709,21700698216,216860,HDFC
04-06-2025,EQ,1921,1943.3,1920.9,1924.6,1939.5,1941.2,1935.52,1978.9,1454,6480771,12543693179,205372,HDFC
03-06-2025,EQ,1938,1952,1920,1932.1,1923.5,1924.6,1933.85,1978.9,1454,12188792,23571332797,202204,HDFC
02-06-2025,EQ,1930.1,1936,1908,1944.9,1931,1932.1,1924.65,1978.9,1454,7334411,14116152681,202297,HDFC
30-05-2025,EQ,1931.9,1948.8,1925.4,1927.5,1941.5,1944.9,1939.36,1978.9,1454,14374039,27876395261,152055,HDFC
29-05-2025,EQ,1928,1940.8,1907.3,1923.5,1937.6,1927.5,1921.28,1978.9,1454,14458897,27779560939,215462,HDFC
28-05-2025,EQ,1920.2,1934.5,1917.7,1926.3,1928.4,1923.5,1922.92,1978.9,1454,9078797,17457806722,179687,HDFC
27-05-2025,EQ,1931.6,1948,1916.3,1940.2,1926.8,1926.3,1927.12,1978.9,1454,13081074,25208751301,202672,HDFC
26-05-2025,EQ,1935,1949.9,1926.9,1933.6,1940.3,1940.2,1939.47,1978.9,1454,5401430,10475911941,201842,HDFC
23-05-2025,EQ,1920.1,1937,1914.5,1919.9,1933.5,1933.6,1929.98,1978.9,1448.15,4783036,9231150800,116301,HDFC
22-05-2025,EQ,1915.2,1924.2,1905.2,1926.8,1924,1919.9,1914.84,1978.9,1448.15,10653335,20399411133,255429,HDFC
21-05-2025,EQ,1927,1946.9,1921.1,1914.9,1925.2,1926.8,1930.42,1978.9,1448.15,7566020,14605582586,205548,HDFC
20-05-2025,EQ,1928.1,1934.6,1913,1938.7,1917.1,1914.9,1918.55,1978.9,1448.15,11939545,22906655882,176524,HDFC
19-05-2025,EQ,1937,1945,1931,1934.7,1937.1,1938.7,1938.13,1978.9,1448.15,5101482,9887338159,156815,HDFC
16-05-2025,EQ,1933.8,1943.8,1928.4,1933.8,1934.5,1934.7,1933.5,1978.9,1430.3,7934005,15340426257,175140,HDFC
15-05-2025,EQ,1913.5,1944.8,1897,1910.6,1933.8,1933.8,1923.01,1978.9,1430.3,16120729,31000329958,224596,HDFC
14-05-2025,EQ,1922.1,1930.2,1903,1922.6,1913.5,1910.6,1914.76,1978.9,1430.3,7722654,14787000375,189542,HDFC
13-05-2025,EQ,1950,1961.7,1920,1957.2,1924.9,1922.6,1930.6,1978.9,1430.3,12121051,23400936924,234495,HDFC
12-05-2025,EQ,1917.6,1959.9,1912.3,1889.7,1956.4,1957.2,1948.86,1978.9,1430.3,9309486,18142865391,207249,HDFC
09-05-2025,EQ,1910.1,1919,1886.8,1928.5,1893.3,1889.7,1894.97,1978.9,1426.8,8594398,16286144559,292155,HDFC
