Date ,Day,Month Name,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
11-07-2025,Friday,July,Q3,2025,EQ,1998.00,2004.80,1980.90,2006.20,1983.00,1983.70,1987.41,2027.10,1588.05,6258461.00,12438153798.20,125871.00
10-07-2025,Thursday,July,Q3,2025,EQ,2016.00,2017.00,2000.00,2011.20,2002.80,2006.20,2008.54,2027.10,1588.05,8515155.00,17103052403.80,184619.00
09-07-2025,Wednesday,July,Q3,2025,EQ,2007.00,2013.80,1998.10,2001.40,2008.50,2011.20,2007.10,2027.10,1588.05,6930714.00,13910645549.40,151284.00
08-07-2025,Tuesday,July,Q3,2025,EQ,1977.00,2005.00,1977.00,1987.40,1999.40,2001.40,1992.88,2027.10,1588.05,7612158.00,15170095365.50,199823.00
07-07-2025,Monday,July,Q3,2025,EQ,1989.00,1998.40,1983.80,1989.30,1985.50,1987.40,1989.37,2027.10,1588.05,5674713.00,11289078543.00,163393.00
04-07-2025,Friday,July,Q3,2025,EQ,1987.10,2003.50,1980.00,1987.10,1992.70,1989.30,1987.51,2027.10,1588.05,3931972.00,7814832915.60,150676.00
03-07-2025,Thursday,July,Q3,2025,EQ,1994.90,2008.00,1984.30,1986.00,1985.90,1987.10,1993.22,2027.10,1588.05,8430253.00,16803371805.60,182242.00
02-07-2025,Wednesday,July,Q3,2025,EQ,2019.90,2019.90,1977.90,2012.10,1985.50,1986.00,1990.25,2027.10,1588.05,9439125.00,18786219250.60,268429.00
01-07-2025,Tuesday,July,Q3,2025,EQ,2005.00,2016.00,2004.00,2001.50,2011.10,2012.10,2010.15,2027.10,1588.05,7194693.00,14462421818.60,169976.00
30-06-2025,Monday,June,Q2,2025,EQ,2011.50,2013.80,1995.50,2014.90,2000.00,2001.50,2001.16,2027.10,1588.05,6824510.00,13656939181.00,199780.00
27-06-2025,Friday,June,Q2,2025,EQ,2013.00,2019.80,1993.40,2021.80,2011.50,2014.90,2011.75,2027.10,1588.05,14106692.00,28379071385.70,226961.00
26-06-2025,Thursday,June,Q2,2025,EQ,1981.40,2027.10,1980.00,1980.20,2017.70,2021.80,2011.21,2027.10,1588.05,25042415.00,50365656414.50,343662.00
25-06-2025,Wednesday,June,Q2,2025,EQ,1966.00,1982.00,1963.90,1960.90,1980.00,1980.20,1977.13,1996.30,1588.05,9202966.00,18195446515.70,206190.00
24-06-2025,Tuesday,June,Q2,2025,EQ,1965.00,1979.00,1955.60,1948.40,1963.70,1960.90,1964.12,1996.30,1588.05,11312661.00,22219442191.50,231814.00
23-06-2025,Monday,June,Q2,2025,EQ,1948.40,1957.90,1941.80,1964.70,1948.10,1948.40,1948.19,1996.30,1588.05,5869759.00,11435395881.10,176324.00
20-06-2025,Friday,June,Q2,2025,EQ,1931.60,1969.90,1931.60,1935.30,1963.10,1964.70,1960.39,1996.30,1588.05,16450204.00,32248839586.40,261970.00
19-06-2025,Thursday,June,Q2,2025,EQ,1933.90,1946.80,1925.60,1933.90,1933.10,1935.30,1937.61,1996.30,1588.05,8438110.00,16349732658.70,202215.00
18-06-2025,Wednesday,June,Q2,2025,EQ,1917.00,1936.30,1917.00,1929.60,1932.50,1933.90,1928.12,1996.30,1588.05,9216908.00,17771302525.40,251910.00
17-06-2025,Tuesday,June,Q2,2025,EQ,1937.00,1941.60,1919.10,1935.40,1926.00,1929.60,1927.55,1996.30,1588.05,8489368.00,16363691276.80,219738.00
16-06-2025,Monday,June,Q2,2025,EQ,1924.00,1938.90,1920.10,1917.60,1936.90,1935.40,1933.31,1996.30,1588.05,8256873.00,15963122374.70,199177.00
13-06-2025,Friday,June,Q2,2025,EQ,1920.00,1933.00,1913.00,1943.40,1919.50,1917.60,1920.08,1996.30,1552.20,6058881.00,11633522704.60,187789.00
12-06-2025,Thursday,June,Q2,2025,EQ,1950.00,1961.00,1935.30,1950.40,1940.00,1943.40,1945.18,1996.30,1552.20,8174565.00,15901014848.90,179174.00
11-06-2025,Wednesday,June,Q2,2025,EQ,1967.60,1967.60,1947.00,1965.30,1947.90,1950.40,1956.28,1996.30,1552.20,5548197.00,10853832767.00,181762.00
10-06-2025,Tuesday,June,Q2,2025,EQ,1982.80,1982.80,1961.10,1978.90,1962.80,1965.30,1967.94,1996.30,1552.20,7766563.00,15284154944.50,281306.00
09-06-2025,Monday,June,Q2,2025,EQ,1995.00,1995.00,1975.90,1978.70,1980.10,1978.90,1982.15,1996.30,1552.20,6601294.00,13084780209.80,203285.00
06-06-2025,Friday,June,Q2,2025,EQ,1944.00,1996.30,1942.70,1949.60,1978.00,1978.70,1976.03,1996.30,1454.00,15063504.00,29765991590.30,354572.00
05-06-2025,Thursday,June,Q2,2025,EQ,1948.00,1958.90,1940.20,1941.20,1952.00,1949.60,1950.15,1978.90,1454.00,11127709.00,21700698216.20,216860.00
04-06-2025,Wednesday,June,Q2,2025,EQ,1921.00,1943.30,1920.90,1924.60,1939.50,1941.20,1935.52,1978.90,1454.00,6480771.00,12543693178.60,205372.00
03-06-2025,Tuesday,June,Q2,2025,EQ,1938.00,1952.00,1920.00,1932.10,1923.50,1924.60,1933.85,1978.90,1454.00,12188792.00,23571332796.70,202204.00
