Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Stock Name
11-07-2025,EQ,1083.9,1101.8,1074,1088.9,1076,1076.8,1086.2,1262.6,882.9,983485,1068260432,51670,TATA
10-07-2025,EQ,1097.9,1103.7,1080.1,1097.9,1086,1088.9,1093.98,1262.6,882.9,533377,583506070.2,31947,TATA
09-07-2025,EQ,1100,1107.4,1091.6,1099.9,1095.6,1097.9,1099.65,1262.6,882.9,752158,827111543.5,29286,TATA
08-07-2025,EQ,1108,1108.6,1093.5,1101.9,1100,1099.9,1100.4,1262.6,882.9,605639,666445055.4,28696,TATA
07-07-2025,EQ,1085,1108.2,1085,1089.7,1106,1101.9,1101.15,1262.6,882.9,1152136,1268678514,60654,TATA
04-07-2025,EQ,1091,1095,1082,1089.4,1089.5,1089.7,1086.15,1262.6,882.9,573351,622743585.2,24715,TATA
03-07-2025,EQ,1096,1105.8,1086.7,1095.8,1090,1089.4,1094.29,1262.6,882.9,730322,799185291.1,38864,TATA
02-07-2025,EQ,1094,1098.3,1084,1095.6,1098,1095.8,1091.44,1262.6,882.9,1230645,1343172049,46806,TATA
01-07-2025,EQ,1098.9,1100.7,1085.9,1098.9,1096,1095.6,1093.18,1262.6,882.9,971874,1062428658,63068,TATA
30-06-2025,EQ,1124,1126.7,1090.6,1124.3,1098,1098.9,1099.04,1262.6,882.9,1836286,2018143048,71404,TATA
27-06-2025,EQ,1144,1147.2,1120,1145.4,1121,1124.3,1129.51,1262.6,882.9,622376,702979860.1,36488,TATA
26-06-2025,EQ,1122,1150,1119.1,1126.5,1148.7,1145.4,1135.96,1262.6,882.9,2236678,2540770243,80197,TATA
25-06-2025,EQ,1107.7,1133.9,1106.6,1107.7,1125,1126.5,1126.71,1262.6,882.9,1564437,1762664860,58691,TATA
24-06-2025,EQ,1112,1116.9,1104.4,1109.4,1110.5,1107.7,1109.96,1262.6,882.9,1134930,1259723647,47724,TATA
23-06-2025,EQ,1090,1112,1090,1100.2,1110.8,1109.4,1102.86,1262.6,882.9,758904,836962343.7,32440,TATA
20-06-2025,EQ,1088.3,1103,1082.7,1088.3,1090.9,1100.2,1096.15,1262.6,882.9,2084108,2284484613,63390,TATA
19-06-2025,EQ,1065.2,1091.6,1061.6,1065.2,1088,1088.3,1084.08,1262.6,882.9,2816398,3053212072,102016,TATA
18-06-2025,EQ,1066.4,1075.8,1059,1071.6,1063.6,1065.2,1066.31,1262.6,882.9,545933,582136320.3,27269,TATA
17-06-2025,EQ,1083.4,1094,1065.5,1083.4,1070.1,1071.6,1073.15,1262.6,882.9,664517,713127111.5,24742,TATA
16-06-2025,EQ,1074,1085,1073.6,1078.4,1084,1083.4,1079.86,1262.6,882.9,439929,475062127.3,25251,TATA
13-06-2025,EQ,1066.6,1080.6,1066.6,1085.1,1080.6,1078.4,1074.97,1262.6,882.9,614108,660148332,35858,TATA
12-06-2025,EQ,1108.9,1108.9,1080,1104.3,1081,1085.1,1089.24,1262.6,882.9,941294,1025297808,55146,TATA
11-06-2025,EQ,1115.2,1119,1102,1115.1,1103.5,1104.3,1107.6,1262.6,882.9,862130,954891058.8,33399,TATA
10-06-2025,EQ,1121.2,1128.6,1112.7,1121.2,1115,1115.1,1118.57,1262.6,882.9,460271,514847521.9,24438,TATA
09-06-2025,EQ,1115.6,1122.5,1110.2,1115.6,1120.1,1121.2,1116.72,1262.6,882.9,467790,522391457.9,24598,TATA
06-06-2025,EQ,1111.9,1123.9,1109.4,1111.9,1114.8,1115.6,1115.93,1262.6,882.9,503186,561521103.4,23369,TATA
05-06-2025,EQ,1124.5,1127.1,1108.2,1124.4,1112.4,1111.9,1116.55,1262.6,882.9,1044950,1166742463,40600,TATA
